event,utc,update,total_updates,steps_seen,policy_loss,value_loss,entropy,mean_ep_reward,win_rate,elapsed_sec
update,2026-03-11T11:00:53Z,1,48,1024,-0.004006844013929367,2.8874528892338276,3.6730726808309555,-3.8949999999999996,0.06,3618.091139793396
update,2026-03-11T11:03:21Z,2,48,2048,-0.0022675145301036537,1.3086484540253878,3.6234026923775673,-4.29,0.0,3766.8281569480896
update,2026-03-11T11:05:53Z,3,48,3072,-0.0035076836647931486,1.1629256829619408,3.6670360416173935,-3.5900000000000007,0.02,3917.921558856964
update,2026-03-11T11:08:23Z,4,48,4096,-0.004340425977716222,0.9171722047030926,3.564834028482437,-3.665,0.02,4068.710028886795
update,2026-03-11T11:13:17Z,5,48,5120,-0.005122373637277633,0.8917442914098501,3.5693876296281815,-3.8200000000000003,0.02,4362.642166852951
update,2026-03-11T11:15:48Z,6,48,6144,-0.002190645842347294,0.8968500178307295,3.5296072885394096,-3.6349999999999993,0.02,4512.895236968994
update,2026-03-11T11:18:18Z,7,48,7168,-0.003980218636570498,1.5786032006144524,3.507949337363243,-3.2950000000000004,0.12,4662.896581888199
update,2026-03-11T11:20:48Z,8,48,8192,-0.004938177764415741,0.9835849571973085,3.5078029111027718,-3.45,0.04,4812.923949956894
update,2026-03-11T11:23:18Z,9,48,9216,-0.005794231838081032,1.2797774225473404,3.4748477563261986,-4.035,0.04,4963.831756830215
update,2026-03-11T11:25:48Z,10,48,10240,-0.004240567504893988,1.3505589067935944,3.445534937083721,-4.1899999999999995,0.02,5113.817955970764
update,2026-03-11T11:28:20Z,11,48,11264,-0.006952998461201787,1.2063556518405676,3.3786844313144684,-4.104999999999999,0.06,5265.749696016312
update,2026-03-11T11:30:52Z,12,48,12288,-0.0062447399977827445,0.8600340243428946,3.3848136737942696,-3.2,0.02,5417.428459882736
update,2026-03-11T11:33:21Z,13,48,13312,-0.007800222199875861,0.9704598002135754,3.372926965355873,-2.845,0.08,5566.655457735062
update,2026-03-11T11:35:51Z,14,48,14336,-0.0074711132037919015,1.1047492660582066,3.358143135905266,-2.8499999999999996,0.1,5716.704608917236
update,2026-03-11T11:38:17Z,15,48,15360,-0.013480030931532383,1.1772111412137747,3.3105277568101883,-3.5849999999999995,0.1,5862.060273885727
update,2026-03-11T11:41:56Z,16,48,16384,-0.0037627057172358036,1.5929582901299,3.3168679624795914,-2.1899999999999995,0.24,6081.222989797592
update,2026-03-11T11:44:22Z,17,48,17408,-0.00433228473411873,1.792044784873724,3.282028056681156,-2.04,0.2,6227.561556100845
update,2026-03-11T11:46:51Z,18,48,18432,-0.006270306097576395,1.6741056628525257,3.3344821631908417,-2.13,0.16,6376.2002630233765
update,2026-03-11T11:49:18Z,19,48,19456,-0.005436610255856067,1.6041051745414734,3.288593143224716,-1.9649999999999999,0.26,6523.524235725403
update,2026-03-11T11:51:55Z,20,48,20480,-0.002614232973428443,1.7189474180340767,3.2672011703252792,-1.8450000000000002,0.32,6679.947023868561
update,2026-03-11T11:54:31Z,21,48,21504,-0.004196378431515768,1.5723591558635235,3.257171705365181,-1.8850000000000005,0.24,6836.0694279670715
update,2026-03-11T11:57:15Z,22,48,22528,-0.006764952471712604,1.724779337644577,3.258776366710663,-1.28,0.32,7000.154730081558
update,2026-03-11T12:00:01Z,23,48,23552,-0.004267184471245855,1.9631885588169098,3.2565181627869606,-1.23,0.28,7166.013622760773
update,2026-03-11T12:02:31Z,24,48,24576,-0.0041240775608457625,1.7584081813693047,3.2370122000575066,-1.315,0.3,7316.099594116211
update,2026-03-11T12:04:55Z,25,48,25600,-0.003498613543342799,1.8604005314409733,3.1983897015452385,-1.8299999999999996,0.32,7460.368217945099
update,2026-03-11T12:07:20Z,26,48,26624,-0.005885494640097022,1.695637859404087,3.1594072356820107,-0.9549999999999998,0.28,7605.622473955154
update,2026-03-11T12:09:46Z,27,48,27648,-0.0034320025297347456,1.8140829093754292,3.1143428534269333,-1.4649999999999994,0.34,7750.926688909531
update,2026-03-11T12:12:12Z,28,48,28672,-0.0027668545371852815,1.764416079968214,3.0991029366850853,-0.6550000000000001,0.44,7897.40514588356
update,2026-03-11T12:14:36Z,29,48,29696,-0.0026432061567902565,2.2308764420449734,3.1682579964399338,-0.7049999999999998,0.5,8041.26219701767
update,2026-03-11T12:17:01Z,30,48,30720,-0.005598376359557733,1.7684039659798145,3.127053216099739,-1.3400000000000003,0.34,8186.848884105682
update,2026-03-11T12:19:26Z,31,48,31744,-0.0031785467581357807,1.8339446894824505,3.1535168662667274,0.08000000000000004,0.5,8331.555307149887
update,2026-03-11T12:25:53Z,32,48,32768,-0.004940232669468969,2.0599144883453846,3.102364920079708,0.44499999999999995,0.48,8718.836203098297
update,2026-03-11T12:30:07Z,33,48,33792,-0.004436967399669811,2.011094745248556,3.1143459379673004,-1.8200000000000003,0.34,8972.035478830338
update,2026-03-11T12:32:31Z,34,48,34816,-0.0017740299517754465,2.2439355701208115,3.0694268345832825,-0.18,0.38,9116.011427879333
update,2026-03-11T12:34:59Z,35,48,35840,-0.005009257409255952,2.161225065588951,3.0138905346393585,0.8399999999999999,0.48,9264.533705949783
update,2026-03-11T12:37:24Z,36,48,36864,-0.004756143825943582,1.8302303925156593,2.9872880578041077,0.46499999999999986,0.52,9409.781782865524
update,2026-03-11T12:39:51Z,37,48,37888,-0.0027375600184313953,2.259056057780981,2.9949946254491806,0.7650000000000001,0.52,9555.89382982254
update,2026-03-11T12:42:15Z,38,48,38912,-0.0028047013911418617,1.799280323088169,3.0032727494835854,-0.34,0.42,9700.131982803345
update,2026-03-11T12:44:38Z,39,48,39936,-0.0032494382467120886,1.837355736643076,2.9606139585375786,0.9949999999999998,0.68,9843.554826974869
update,2026-03-11T12:47:01Z,40,48,40960,-0.002567946066847071,1.830127079039812,2.9259112253785133,-0.8900000000000002,0.38,9986.845496892929
update,2026-03-11T12:49:31Z,41,48,41984,-0.0038518391374964267,2.1049190051853657,2.9123139828443527,0.3799999999999999,0.56,10136.770648956299
update,2026-03-11T12:51:56Z,42,48,43008,-0.0037721553817391396,1.9390456937253475,2.9417180940508842,0.745,0.56,10281.182572841644
update,2026-03-11T12:54:21Z,43,48,44032,-0.00214987582876347,2.047988697886467,2.9488135278224945,1.095,0.6,10426.074321985245
update,2026-03-11T12:56:44Z,44,48,45056,-0.0029110036557540298,2.1489580906927586,2.8834336921572685,0.63,0.6,10569.655547857285
update,2026-03-11T12:59:12Z,45,48,46080,-0.0037440515006892383,1.9887066707015038,2.8810810893774033,0.7549999999999997,0.64,10717.20670080185
update,2026-03-11T13:01:39Z,46,48,47104,-0.004379661913844757,1.6699191629886627,2.800400137901306,0.7999999999999999,0.72,10864.357656955719
update,2026-03-11T13:04:08Z,47,48,48128,-0.003969045414123684,1.787169188261032,2.8288180828094482,1.0750000000000002,0.66,11013.53224682808
update,2026-03-11T13:06:37Z,48,48,49152,-0.002132666326360777,2.1523509472608566,2.8636143803596497,0.19499999999999984,0.62,11161.89744091034
