event,utc,update,total_updates,steps_seen,policy_loss,value_loss,entropy,mean_ep_reward,win_rate,elapsed_sec
update,2026-03-11T17:02:02Z,1,48,1024,-0.003806092223385349,4.185277856886387,3.6506655290722847,-4.775,0.06,182.69599604606628
update,2026-03-11T17:04:59Z,2,48,2048,-0.0026330166147090495,2.200059585273266,3.697185128927231,-3.960000000000001,0.04,359.77209997177124
update,2026-03-11T17:07:57Z,3,48,3072,-0.001560760021675378,1.3142396993935108,3.6537609547376633,-5.289999999999999,0.02,537.6761939525604
update,2026-03-11T17:10:55Z,4,48,4096,-0.005350725521566346,1.106147140264511,3.6788524612784386,-4.54,0.0,715.6356389522552
update,2026-03-11T17:13:53Z,5,48,5120,-0.0037510720430873334,1.082937367260456,3.5897949934005737,-4.6499999999999995,0.04,893.2374079227448
update,2026-03-11T17:16:50Z,6,48,6144,-0.009798153885640204,0.984899340197444,3.6155413687229156,-4.1899999999999995,0.04,1070.9461510181427
update,2026-03-11T17:19:45Z,7,48,7168,-0.0052919285371899605,1.2535730823874474,3.6186509653925896,-3.285,0.06,1245.9068121910095
update,2026-03-11T17:22:39Z,8,48,8192,-0.008846174459904432,1.107230158522725,3.5946425944566727,-4.069999999999999,0.06,1420.1876621246338
update,2026-03-11T17:25:34Z,9,48,9216,-0.00915180446463637,0.7965840697288513,3.6008240953087807,-4.295,0.02,1594.202800989151
update,2026-03-11T17:28:27Z,10,48,10240,-0.005236359836999327,0.8931894227862358,3.57775716483593,-4.074999999999999,0.04,1767.8138580322266
update,2026-03-11T17:31:19Z,11,48,11264,-0.0076108615030534565,1.1006400790065527,3.532477393746376,-4.010000000000001,0.06,1939.7767310142517
update,2026-03-11T17:34:10Z,12,48,12288,-0.009036538016516715,1.1030670069158077,3.523497425019741,-3.17,0.06,2110.6863667964935
update,2026-03-11T17:37:03Z,13,48,13312,-0.006655885372310877,1.2159463353455067,3.497720792889595,-2.825,0.12,2283.5014839172363
update,2026-03-11T17:40:10Z,14,48,14336,-0.005849483248312026,0.9280820228159428,3.497687190771103,-2.435,0.06,2470.2400329113007
update,2026-03-11T17:43:20Z,15,48,15360,-0.008585204079281539,1.1357832420617342,3.3865149691700935,-2.9099999999999997,0.1,2660.6159369945526
update,2026-03-11T17:46:19Z,16,48,16384,-0.008886427589459345,1.3125714119523764,3.3861112892627716,-3.075,0.1,2839.895245075226
update,2026-03-11T17:49:07Z,17,48,17408,-0.004736961564049125,1.6917975284159184,3.3713635355234146,-2.2300000000000004,0.22,3007.3405270576477
update,2026-03-11T17:51:53Z,18,48,18432,-0.0077766922186128795,1.2405181415379047,3.2872563526034355,-2.785,0.2,3174.0782639980316
update,2026-03-11T17:54:48Z,19,48,19456,-0.010518929455429316,1.3790833242237568,3.3216092362999916,-1.0850000000000002,0.22,3348.808820962906
update,2026-03-11T17:57:39Z,20,48,20480,-0.0064599210745655,1.861407607793808,3.289683297276497,-0.4800000000000001,0.4,3519.9867839813232
update,2026-03-11T18:00:25Z,21,48,21504,-0.005291518406011164,1.5516046285629272,3.2992728278040886,0.050000000000000044,0.36,3685.890916109085
update,2026-03-11T18:03:28Z,22,48,22528,-0.004251923935953528,1.392173182219267,3.2573551535606384,-1.7,0.18,3868.9570338726044
update,2026-03-11T18:06:17Z,23,48,23552,-0.006408790068235248,1.6615547649562359,3.2874674648046494,-1.3800000000000003,0.34,4038.1079530715942
update,2026-03-11T18:09:03Z,24,48,24576,-0.00434924365254119,1.7653386816382408,3.2040701806545258,-1.5349999999999997,0.3,4203.481790065765
update,2026-03-11T18:11:54Z,25,48,25600,-0.00457427985384129,1.4842417016625404,3.15253634005785,0.08499999999999996,0.34,4375.082524061203
